Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
1	['ENSG00000066279', 'ENSG00000138160', 'ENSG00000121621', 'ENSG00000111206', 'ENSG00000140525', 'ENSG00000198901', 'ENSG00000169679', 'ENSG00000088325', 'ENSG00000163808', 'ENSG00000113810', 'ENSG00000164109', 'ENSG00000142731', 'ENSG00000106462']	[1653, 2461, 3083, 4062, 6529, 6562, 10964, 11809, 13051, 13701, 14412, 14437, 17365]	100.0	26.9663	13.5593
1	['ENSG00000136628', 'ENSG00000143799']	[1823, 1867]	100.0	38.2022	19.209
1	['ENSG00000182827', 'ENSG00000103353', 'ENSG00000164284']	[1864, 6917, 15288]	95.83	25.8427	13.5593
1	['ENSG00000138316', 'ENSG00000168542']	[2327, 11262]	94.87	41.573	22.0339
1	['ENSG00000156110', 'ENSG00000182481', 'ENSG00000163993']	[2372, 8423, 13968]	100.0	10.1124	5.0847
1	['ENSG00000095587']	[2496]	91.3	47.191	25.9887
1	['ENSG00000167325']	[2857]	100.0	47.191	23.7288
1	['ENSG00000175216', 'ENSG00000111206']	[3162, 4062]	100.0	34.8315	17.5141
1	['ENSG00000175216', 'ENSG00000169679']	[3162, 10964]	100.0	34.8315	17.5141
1	['ENSG00000175216', 'ENSG00000130827']	[3162, 19687]	96.43	30.3371	15.8192
1	['ENSG00000109971']	[3946]	88.64	43.8202	24.8588
1	['ENSG00000111206']	[4062]	100.0	48.3146	24.2938
1	['ENSG00000139116']	[4333]	97.78	49.4382	25.4237
1	['ENSG00000139116', 'ENSG00000103353', 'ENSG00000155959']	[4333, 6917, 19708]	96.43	30.3371	15.8192
1	['ENSG00000184613']	[4350]	93.48	48.3146	25.9887
1	['ENSG00000255863', 'ENSG00000188501']	[4388, 6343]	100.0	26.9663	13.5593
1	['ENSG00000272822']	[4389]	93.18	46.0674	24.8588
1	['ENSG00000167553', 'ENSG00000135114', 'ENSG00000105568', 'ENSG00000169679']	[4401, 4969, 10150, 10964]	100.0	17.9775	9.0395
1	['ENSG00000135446']	[4633]	91.49	48.3146	26.5537
1	['ENSG00000022840']	[4960]	93.33	47.191	25.4237
1	['ENSG00000256632']	[5060]	80.43	41.573	25.9887
1	['ENSG00000100625']	[5693]	95.45	47.191	24.8588
1	['ENSG00000169955', 'ENSG00000163754']	[7020, 13637]	100.0	20.2247	10.1695
1	['ENSG00000167394']	[7043]	95.56	48.3146	25.4237
1	['ENSG00000217555']	[7182]	93.48	48.3146	25.9887
1	['ENSG00000277363']	[7961]	77.78	39.3258	25.4237
1	['ENSG00000277972']	[7964]	91.49	48.3146	26.5537
1	['ENSG00000108395']	[8339]	97.73	48.3146	24.8588
1	['ENSG00000064932']	[8946]	87.76	48.3146	27.6836
1	['ENSG00000130733']	[9235]	95.65	49.4382	25.9887
1	['ENSG00000127527', 'ENSG00000204604', 'ENSG00000113194']	[9396, 10164, 15432]	100.0	23.5955	11.8644
1	['ENSG00000127527', 'ENSG00000159131', 'ENSG00000101843']	[9396, 12256, 19425]	100.0	20.2247	10.1695
1	['ENSG00000141971', 'ENSG00000160948']	[9428, 18089]	86.21	28.0899	16.3842
1	['ENSG00000167608']	[10201]	91.11	46.0674	25.4237
1	['ENSG00000095752']	[10251]	88.64	43.8202	24.8588
1	['ENSG00000049323']	[10556]	73.91	38.2022	25.9887
1	['ENSG00000049323', 'ENSG00000168393', 'ENSG00000124237']	[10556, 11605, 12067]	100.0	6.7416	3.3898
1	['ENSG00000049323', 'ENSG00000104522']	[10556, 18053]	100.0	17.9775	9.0395
1	['ENSG00000135956', 'ENSG00000164694']	[10865, 16492]	96.0	26.9663	14.1243
1	['ENSG00000184492']	[10992]	86.67	43.8202	25.4237
